"displayName","value"
"Acura","Acura"
"AlfaRomeo","AlfaRomeo"
"Audi","Audi"
"BMW","BMW"
"Cadillac","Cadillac"
"Chevrolet","Chevrolet"
"Dodge","Dodge"
"Ferrari","Ferrari"
"Fiat","Fiat"
"Ford","Ford"
"GMC","GMC"
"Honda","Honda"
"Hyundai","Hyundai"
"Jaguar","Jaguar"
"Jeep","Jeep"
"Kia","Kia"
"LandRover","LandRover"
"Lexus","Lexus"
"Mazda","Mazda"
"Mercedes-Benz","Mercedes-Benz"
"MG","MG"
"MINI","MINI"
"Mitsubishi","Mitsubishi"
"Nissan","Nissan"
"Opel","Opel"
"Peugeot","Peugeot"
"Porsche","Porsche"
"Ram","Ram"
"Renault","Renault"
"SEAT","SEAT"
"Subaru","Subaru"
"Suzuki","Suzuki"
"Tesla","Tesla"
"Toyota","Toyota"
"Volvo","Volvo"
"Volkswagen","VW"
